GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,471714,2970538,google.com,com,1,1,469601,2936202
2,2,facebook.com,com,459130,3025807,facebook.com,com,2,2,457046,2991381
3,3,youtube.com,com,418564,2446207,youtube.com,com,3,3,416327,2414956
4,4,twitter.com,com,409990,2445133,twitter.com,com,4,4,407947,2415956
5,5,microsoft.com,com,309147,1178629,microsoft.com,com,5,5,307016,1167925
6,6,linkedin.com,com,298889,1356887,linkedin.com,com,6,6,296904,1339365
7,1,wikipedia.org,org,289329,1228803,wikipedia.org,org,7,1,287272,1214873
8,7,plus.google.com,com,286595,1443037,plus.google.com,com,8,7,284771,1426703
9,8,instagram.com,com,286106,1403069,instagram.com,com,9,8,284256,1385661
10,9,apple.com,com,281710,1060418,apple.com,com,10,9,279344,1046668
11,10,adobe.com,com,252121,868387,adobe.com,com,11,10,250210,859089
12,2,en.wikipedia.org,org,243617,908705,en.wikipedia.org,org,12,2,241737,897565
13,11,itunes.apple.com,com,234136,769223,itunes.apple.com,com,13,11,231933,758710
14,12,wordpress.com,com,222783,846991,wordpress.com,com,14,12,220925,836911
15,1,youtu.be,be,221769,795962,youtu.be,be,15,1,219619,783795
16,13,vimeo.com,com,220310,900782,vimeo.com,com,16,13,218395,888169
17,14,blogspot.com,com,217158,818515,blogspot.com,com,17,14,215450,809678
18,1,goo.gl,gl,217140,772209,goo.gl,gl,18,1,215343,762804
19,15,pinterest.com,com,214389,960741,pinterest.com,com,19,15,212813,949278
20,16,maps.google.com,com,212943,777465,maps.google.com,com,20,16,211296,768165
21,17,play.google.com,com,208958,649106,play.google.com,com,21,17,207063,640793
22,18,googletagmanager.com,com,198615,673755,googletagmanager.com,com,22,18,196933,663782
23,19,yahoo.com,com,195158,604181,yahoo.com,com,23,19,193598,597993
24,20,amazon.com,com,188482,638328,amazon.com,com,24,20,186929,630338
25,1,bit.ly,ly,185420,599541,bit.ly,ly,25,1,183632,590773
26,21,player.vimeo.com,com,184693,711579,player.vimeo.com,com,26,21,182914,701388
27,22,docs.google.com,com,177720,557371,docs.google.com,com,27,22,176134,551138
28,3,wordpress.org,org,176033,700302,wordpress.org,org,28,3,175259,696753
29,23,tumblr.com,com,173294,617709,tumblr.com,com,29,23,171947,610884
30,24,github.com,com,171735,501721,github.com,com,30,24,170689,498609
31,25,godaddy.com,com,170416,564345,godaddy.com,com,31,25,168748,556350
32,26,flickr.com,com,164866,530219,flickr.com,com,32,26,163469,523803
33,4,mozilla.org,org,164019,478936,mozilla.org,org,33,4,160271,465294
34,27,go.microsoft.com,com,155173,520808,go.microsoft.com,com,34,27,154184,518957
35,5,w3.org,org,154009,382822,w3.org,org,35,5,153097,380085
36,28,mcc.godaddy.com,com,153380,483666,mcc.godaddy.com,com,36,28,152096,477807
37,29,get.adobe.com,com,151140,392517,get.adobe.com,com,38,29,147044,376914
38,6,apache.org,org,148834,338148,apache.org,org,37,6,147859,335867
39,30,gravatar.com,com,146549,496706,gravatar.com,com,39,30,145719,493554
40,1,sourceforge.net,net,142675,339467,sourceforge.net,net,40,1,141744,337269
41,31,nytimes.com,com,138004,398202,nytimes.com,com,41,31,135578,388095
42,32,drive.google.com,com,135012,367814,drive.google.com,com,42,32,133680,363724
43,1,europa.eu,eu,131903,421978,europa.eu,eu,43,1,130663,415652
44,33,reddit.com,com,129119,411880,reddit.com,com,44,33,128027,408167
45,34,soundcloud.com,com,127425,402250,soundcloud.com,com,45,34,126356,398026
46,1,t.co,co,126809,375513,t.co,co,46,1,125594,371207
47,35,sites.google.com,com,126773,317250,sites.google.com,com,47,35,125561,313630
48,36,amazonaws.com,com,122153,289008,amazonaws.com,com,49,36,120736,285260
49,1,bbc.co.uk,uk,121832,328744,bbc.co.uk,uk,50,1,120715,324778
50,2,php.net,net,121639,287798,php.net,net,48,2,120965,286054
51,1,nih.gov,gov,120933,312582,nih.gov,gov,52,1,119660,308313
52,37,qq.com,com,120142,1214791,qq.com,com,51,37,119811,1209010
53,38,cnn.com,com,120088,314632,cnn.com,com,53,38,118699,309993
54,39,weebly.com,com,118316,314661,weebly.com,com,54,39,117319,311301
55,40,theguardian.com,com,117430,319756,theguardian.com,com,55,40,116117,315001
56,41,dropbox.com,com,116194,299998,dropbox.com,com,56,41,114885,295998
57,42,support.microsoft.com,com,115124,256520,support.microsoft.com,com,-1,-1,-1,-1
58,7,httpd.apache.org,org,114399,243429,httpd.apache.org,org,57,7,113808,242059
59,43,forbes.com,com,113206,289876,forbes.com,com,58,42,111552,284945
60,8,creativecommons.org,org,111516,276905,creativecommons.org,org,59,8,110566,274021
61,1,github.io,io,109881,252147,github.io,io,60,1,109520,252082
62,44,tinyurl.com,com,109067,268903,tinyurl.com,com,61,43,108089,265494
63,9,gnu.org,org,108692,240481,gnu.org,org,62,9,107789,238769
64,45,msn.com,com,108691,257395,msn.com,com,63,44,107251,253612
65,46,issuu.com,com,108298,281731,issuu.com,com,64,45,107009,277368
66,10,validator.w3.org,org,106781,248818,validator.w3.org,org,65,10,106193,247362
67,47,virginmedia.com,com,106746,257311,virginmedia.com,com,66,46,105922,255458
68,48,oracle.com,com,105889,200558,oracle.com,com,67,47,104999,198800
69,49,wsj.com,com,105668,261973,wsj.com,com,68,48,104218,257901
70,50,paypal.com,com,105093,298661,paypal.com,com,69,49,104037,294632
71,11,archive.org,org,104750,267271,archive.org,org,70,11,103784,264304
72,51,bing.com,com,104549,255469,bing.com,com,71,50,103467,253241
73,52,accounts.google.com,com,103459,274989,accounts.google.com,com,72,51,102398,271703
74,2,www.ncbi.nlm.nih.gov,gov,103140,250998,www.ncbi.nlm.nih.gov,gov,74,2,102046,247496
75,53,imdb.com,com,102964,273264,imdb.com,com,75,53,101994,270176
76,54,m.facebook.com,com,102790,282662,m.facebook.com,com,73,52,102137,279965
77,55,reuters.com,com,102074,240717,reuters.com,com,78,55,100865,237634
78,3,slideshare.net,net,102045,235991,slideshare.net,net,77,3,100912,233007
79,56,live.com,com,101661,226139,live.com,com,76,54,101211,225820
80,1,t-online.de,de,100764,238335,t-online.de,de,79,1,99713,235343
81,2,ec.europa.eu,eu,100479,302144,ec.europa.eu,eu,80,2,99409,297268
82,57,go.com,com,99976,245253,go.com,com,81,56,98837,241585
83,58,wix.com,com,99836,245947,wix.com,com,82,57,98632,242448
84,59,huffingtonpost.com,com,99618,266783,huffingtonpost.com,com,83,58,98311,262295
85,60,wixsite.com,com,98238,240173,wixsite.com,com,84,59,97289,237290
86,61,medium.com,com,97946,238336,medium.com,com,85,60,96635,234666
87,12,wikimedia.org,org,97438,242400,wikimedia.org,org,86,12,96562,239665
88,62,washingtonpost.com,com,97366,243094,washingtonpost.com,com,88,62,96206,239315
89,63,myspace.com,com,96919,255620,myspace.com,com,89,63,96092,252936
90,64,bloomberg.com,com,96783,223934,bloomberg.com,com,91,65,95588,220594
91,65,weibo.com,com,96681,578535,weibo.com,com,87,61,96416,576442
92,66,windows.microsoft.com,com,96186,228314,windows.microsoft.com,com,-1,-1,-1,-1
93,1,mit.edu,edu,95651,202725,mit.edu,edu,94,1,94714,200374
94,67,opera.com,com,95648,237252,opera.com,com,93,67,94906,235068
95,68,mysql.com,com,95607,193187,mysql.com,com,92,66,94996,192029
96,69,wp.com,com,94989,304833,wp.com,com,95,68,94383,302445
97,70,aol.com,com,94794,207159,aol.com,com,96,69,93940,204936
98,71,ibm.com,com,93561,175994,ibm.com,com,98,70,92813,174742
99,2,stanford.edu,edu,92854,192601,stanford.edu,edu,101,2,91848,190057
